# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
2.2350  0.094  0.237  0.158  P
2.2400  0.034  -0.073  0.295  T
2.2450  0.060  -0.024  0.276  T
2.2500  0.083  0.005  0.205  T
2.2550  0.072  -0.048  0.201  T
2.2600  0.072  -0.051  0.329  T
2.2650  0.284  -0.038  0.406  T
2.2700  0.201  0.172  0.074  P
2.2750  0.108  0.200  0.176  P
2.2800  0.107  0.237  0.148  P
2.2850  0.041  -0.074  0.283  T
2.2900  0.112  -0.001  0.358  T
2.2950  0.335  0.032  0.449  T
2.3000  0.533  -0.105  0.454  T
2.3050  0.765  0.028  0.270  T
2.3100  0.473  0.025  0.262  T
2.3150  0.638  -0.025  0.230  T
2.3200  0.207  0.027  0.155  T
2.3250  0.258  0.093  0.173  T
2.3300  0.576  -0.019  0.162  T
2.3350  1.290  0.012  0.215  T
2.3400  0.474  0.009  0.228  T
2.3450  0.157  -0.017  0.139  T
2.3500  0.199  0.066  0.178  T
2.3550  1.027  0.024  0.299  T
2.3600  1.741  -0.145  0.255  T
2.3650  0.667  -0.038  0.274  T
2.3700  0.089  -0.167  0.211  T
2.3750  0.213  -0.094  0.158  T
2.3800  0.134  0.089  0.129  T
2.3850  0.044  0.012  0.193  T
2.3900  0.484  -0.264  0.297  T
2.3950  2.096  -0.082  0.355  T
2.4000  1.098  -0.077  0.323  T
2.4050  0.168  -0.008  0.193  T
2.4100  0.036  -0.025  0.228  T
2.4150  0.166  -0.118  0.194  T
2.4200  0.323  -0.100  0.185  T
2.4250  1.354  -0.029  0.246  T
2.4300  1.998  -0.016  0.238  T
2.4350  1.509  0.090  0.293  T
2.4400  0.677  -0.089  0.785  T
2.4450  0.366  -0.094  0.532  T
2.4500  0.131  0.072  0.278  T
2.4550  0.072  -0.026  0.325  T
2.4600  0.261  -0.042  0.426  T
2.4650  0.144  0.169  0.074  P
2.4700  0.071  0.200  0.177  P
2.4750  0.183  0.227  0.156  P
2.4800  0.083  -0.076  0.293  T
2.4850  0.057  -0.022  0.281  T
2.4900  0.082  0.004  0.209  T
2.4950  0.073  -0.047  0.197  T
2.5000  0.081  -0.048  0.318  T
2.5050  0.242  -0.044  0.390  T
2.5100  0.172  0.166  0.082  P
2.5150  0.155  0.209  0.195  P
2.5200  0.128  0.240  0.152  P
2.5250  0.077  -0.064  0.287  T
2.5300  0.069  -0.025  0.271  T
2.5350  0.076  0.005  0.199  T
2.5400  0.081  0.246  0.160  P
2.5450  0.074  0.248  0.170  P
2.5500  0.117  0.043  0.236  T
2.5550  0.349  -0.070  0.465  T
2.5600  1.185  -0.080  0.545  T
2.5650  2.471  -0.010  0.353  T
2.5700  1.722  -0.013  0.229  T
2.5750  0.381  -0.034  0.215  T
2.5800  0.218  -0.049  0.364  T
2.5850  0.715  -0.053  0.423  T
2.5900  0.878  0.044  0.308  T
2.5950  2.505  -0.065  0.263  T
2.6000  4.331  0.087  0.283  T
2.6050  1.181  -0.016  0.275  T
2.6100  0.493  -0.007  0.258  T
2.6150  0.546  -0.022  0.318  T
2.6200  0.910  0.036  0.268  T
2.6250  0.815  0.015  0.353  T
2.6300  0.775  -0.036  0.283  T
2.6350  0.368  -0.066  0.254  T
2.6400  1.065  -0.148  0.315  T
2.6450  0.662  -0.051  0.272  T
2.6500  0.177  -0.013  0.308  T
2.6550  0.220  0.010  0.327  T
2.6600  0.506  -0.003  0.279  T
2.6650  0.758  0.060  0.381  T
2.6700  1.833  -0.178  0.363  T
2.6750  2.171  -0.026  0.308  T
2.6800  0.603  -0.090  0.791  T
2.6850  0.334  -0.094  0.536  T
2.6900  0.129  0.073  0.280  T
2.6950  0.066  -0.029  0.327  T
2.7000  0.246  -0.054  0.455  T
2.7050  0.185  0.168  0.074  P
2.7100  0.126  0.212  0.184  P
2.7150  0.162  0.234  0.151  P
2.7200  0.061  -0.082  0.299  T
2.7250  0.056  -0.023  0.274  T
2.7300  0.076  0.006  0.203  T
2.7350  0.069  -0.046  0.198  T
2.7400  0.076  -0.051  0.323  T
2.7450  0.217  -0.045  0.417  T
2.7500  0.117  0.170  0.078  P
2.7550  0.073  0.224  0.183  P
2.7600  0.147  0.209  0.161  P
2.7650  0.048  -0.081  0.270  T
2.7700  0.063  -0.026  0.267  T
2.7750  0.086  0.007  0.200  T
2.7800  0.095  0.240  0.158  P
2.7850  0.087  0.252  0.164  P
2.7900  0.136  0.052  0.236  T
2.7950  0.447  -0.073  0.418  T
2.8000  2.092  -0.080  0.557  T
2.8050  3.953  -0.014  0.401  T
2.8100  3.555  -0.030  0.325  T
2.8150  1.536  0.037  0.316  T
2.8200  0.720  0.062  0.248  T
2.8250  0.189  0.073  0.361  T
2.8300  0.752  0.001  0.429  T
2.8350  2.221  -0.079  0.325  T
2.8400  2.321  -0.077  0.311  T
2.8450  1.858  0.066  0.285  T
2.8500  0.385  -0.137  0.308  T
2.8550  0.198  0.023  0.186  T
2.8600  0.592  0.030  0.224  T
2.8650  2.436  0.121  0.343  T
2.8700  2.154  -0.073  0.375  T
2.8750  0.485  -0.117  0.289  T
2.8800  0.347  -0.204  0.279  T
2.8850  1.287  -0.007  0.360  T
2.8900  1.354  -0.010  0.291  T
2.8950  1.003  -0.123  0.300  T
2.9000  1.906  -0.089  0.302  T
2.9050  1.416  -0.075  0.256  T
2.9100  1.057  -0.055  0.276  T
2.9150  1.358  -0.028  0.206  T
2.9200  0.548  -0.090  0.799  T
2.9250  0.343  -0.094  0.535  T
2.9300  0.141  0.072  0.282  T
2.9350  0.070  -0.031  0.324  T
2.9400  0.237  -0.062  0.471  T
2.9450  0.110  0.163  0.127  P
2.9500  0.211  0.188  0.258  P
2.9550  0.056  0.198  0.211  P
2.9600  0.057  -0.069  0.269  T
2.9650  0.074  -0.008  0.267  T
2.9700  0.107  -0.004  0.199  T
2.9750  0.087  -0.049  0.185  T
2.9800  0.092  -0.051  0.319  T
2.9850  0.419  -0.029  0.413  T
2.9900  0.135  0.136  0.149  T
2.9950  0.233  0.148  0.221  T
3.0000  0.368  0.225  0.253  P
3.0050  0.094  -0.107  0.261  T
3.0100  0.043  -0.060  0.279  T
3.0150  0.075  0.041  0.216  T
3.0200  0.069  0.247  0.179  P
3.0250  0.061  0.256  0.197  P
3.0300  0.138  0.030  0.234  T
3.0350  0.381  -0.097  0.486  T
3.0400  0.992  -0.104  0.585  T
3.0450  0.595  -0.023  0.337  T
3.0500  0.423  -0.064  0.317  T
3.0550  1.392  0.044  0.342  T
3.0600  0.918  0.002  0.297  T
3.0650  0.670  -0.106  0.263  T
3.0700  2.188  0.071  0.306  T
3.0750  2.640  0.049  0.517  T
3.0800  1.481  -0.008  0.345  T
3.0850  1.191  -0.020  0.312  T
3.0900  1.953  0.129  0.437  T
3.0950  0.582  0.100  0.318  T
3.1000  0.558  0.061  0.242  T
3.1050  0.695  0.013  0.356  T
3.1100  0.558  -0.098  0.375  T
3.1150  0.330  -0.026  0.359  T
3.1200  0.537  -0.142  0.319  T
3.1250  0.721  0.059  0.228  T
3.1300  0.598  0.028  0.289  T
3.1350  1.031  -0.026  0.245  T
3.1400  2.297  -0.143  0.371  T
3.1450  1.095  -0.007  0.426  T
3.1500  1.308  0.003  0.410  T
3.1550  2.283  -0.025  0.460  T
3.1600  0.569  -0.091  0.794  T
3.1650  0.327  -0.094  0.531  T
3.1700  0.128  0.073  0.278  T
3.1750  0.086  -0.034  0.335  T
3.1800  0.426  -0.060  0.490  T
3.1850  0.261  0.171  0.103  P
3.1900  0.104  0.197  0.213  P
3.1950  0.204  0.219  0.194  P
3.2000  0.082  -0.057  0.286  T
3.2050  0.061  -0.029  0.299  T
3.2100  0.071  0.014  0.206  T
3.2150  0.061  -0.042  0.192  T
3.2200  0.054  -0.051  0.299  T
3.2250  0.138  -0.073  0.353  T
3.2300  0.106  0.134  0.169  T
3.2350  0.266  0.157  0.245  P
3.2400  0.223  0.144  0.233  T
3.2450  0.104  -0.057  0.324  T
3.2500  0.172  -0.010  0.363  T
3.2550  0.419  -0.002  0.373  T
3.2600  0.919  -0.119  0.635  T
3.2650  1.470  -0.020  0.431  T
3.2700  2.545  -0.098  0.432  T
3.2750  1.648  -0.006  0.399  T
3.2800  1.635  -0.093  0.369  T
3.2850  0.819  0.103  0.294  T
3.2900  2.030  0.025  0.399  T
3.2950  2.273  -0.102  0.458  T
3.3000  1.708  -0.066  0.318  T
3.3050  0.783  -0.043  0.355  T
3.3100  0.204  0.071  0.287  T
3.3150  0.453  -0.108  0.256  T
3.3200  0.115  -0.000  0.228  T
3.3250  0.319  -0.048  0.315  T
3.3300  0.491  -0.016  0.412  T
3.3350  0.805  0.035  0.407  T
3.3400  2.276  0.002  0.403  T
3.3450  1.198  0.047  0.445  T
3.3500  0.496  -0.048  0.334  T
3.3550  0.660  0.011  0.270  T
3.3600  0.568  -0.016  0.356  T
3.3650  1.504  -0.019  0.508  T
3.3700  1.453  0.027  0.420  T
3.3750  1.424  -0.008  0.440  T
3.3800  3.351  0.055  0.413  T
3.3850  2.708  -0.018  0.439  T
3.3900  1.615  0.043  0.442  T
3.3950  1.214  0.133  0.498  T
3.4000  1.289  -0.004  0.466  T
3.4050  0.663  0.103  0.448  T
3.4100  1.191  -0.098  0.707  T
3.4150  0.571  -0.234  0.385  T
3.4200  0.176  -0.194  0.171  T
3.4250  0.042  -0.101  0.290  T
3.4300  0.058  -0.022  0.278  T
3.4350  0.081  0.005  0.206  T
3.4400  0.071  -0.046  0.198  T
3.4450  0.073  -0.049  0.324  T
3.4500  0.257  -0.039  0.405  T
3.4550  0.161  0.174  0.079  P
3.4600  0.107  0.203  0.175  P
3.4650  0.115  0.235  0.149  P
3.4700  0.046  -0.076  0.290  T
3.4750  0.058  -0.022  0.278  T
3.4800  0.080  0.004  0.205  T
3.4850  0.084  0.244  0.151  P
3.4900  0.128  0.028  0.240  T
3.4950  0.491  -0.080  0.367  T
3.5000  0.882  -0.119  0.632  T
3.5050  0.638  -0.079  0.247  T
