# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3000  fc=1800
# columns: time_s  S_score  PP_score  TRN_flat  label
2.0650  0.004  -0.017  0.001  T
2.0700  0.050  0.009  0.002  T
2.0750  0.098  -0.162  0.002  T
2.0800  0.031  -0.089  0.002  T
2.0850  0.003  -0.154  0.001  T
2.0900  0.012  -0.141  0.003  T
2.0950  0.263  -0.103  0.008  T
2.1000  4.366  0.038  0.579  T
2.1050  2.564  -0.004  0.608  T
2.1100  1.663  -0.089  0.611  T
2.1150  0.746  -0.041  0.608  T
2.1200  0.846  0.012  0.452  T
2.1250  0.844  -0.003  0.655  T
2.1300  1.015  -0.009  0.679  T
2.1350  0.562  -0.042  0.584  T
2.1400  2.050  0.004  0.560  T
2.1450  4.978  0.036  0.494  T
2.1500  5.833  -0.039  0.455  T
2.1550  5.655  0.024  0.495  T
2.1600  3.640  0.010  0.522  T
2.1650  2.960  0.007  0.613  T
2.1700  2.788  0.009  0.604  T
2.1750  2.209  -0.010  0.574  T
2.1800  1.544  -0.040  0.702  T
2.1850  1.364  -0.005  0.636  T
2.1900  0.908  -0.003  0.516  T
2.1950  0.870  0.048  0.659  T
2.2000  0.260  0.006  0.409  T
2.2050  1.873  -0.065  0.578  T
2.2100  1.334  0.047  0.544  T
2.2150  1.166  -0.005  0.660  T
2.2200  0.857  0.033  0.467  T
2.2250  0.947  0.062  0.497  T
2.2300  1.638  0.043  0.551  T
2.2350  1.698  -0.070  0.467  T
2.2400  1.885  0.022  0.643  T
2.2450  3.525  0.004  0.614  T
2.2500  1.763  -0.066  0.585  T
2.2550  0.913  0.026  0.548  T
2.2600  2.410  0.027  0.529  T
2.2650  1.536  0.004  0.712  T
2.2700  1.087  -0.063  0.567  T
2.2750  0.414  -0.024  0.502  T
2.2800  0.513  -0.045  0.538  T
2.2850  0.385  0.017  0.415  T
2.2900  1.461  0.011  0.579  T
2.2950  2.005  -0.056  0.475  T
2.3000  1.033  0.017  0.510  T
2.3050  2.002  -0.011  0.581  T
2.3100  0.996  0.035  0.635  T
2.3150  0.722  -0.035  0.589  T
2.3200  0.978  -0.043  0.615  T
2.3250  0.526  0.028  0.672  T
2.3300  1.987  -0.034  0.534  T
2.3350  3.242  0.040  0.606  T
2.3400  0.919  0.039  0.583  T
2.3450  2.329  -0.040  0.612  T
2.3500  1.666  -0.052  0.584  T
2.3550  1.674  -0.005  0.609  T
2.3600  1.398  0.009  0.599  T
2.3650  0.366  0.020  0.539  T
2.3700  0.471  -0.020  0.605  T
2.3750  2.360  -0.014  0.618  T
2.3800  4.037  0.051  0.612  T
2.3850  4.128  0.060  0.538  T
2.3900  1.856  -0.048  0.609  T
2.3950  1.478  0.023  0.554  T
2.4000  1.874  -0.029  0.570  T
2.4050  1.036  0.059  0.640  T
2.4100  0.433  0.004  0.467  T
2.4150  1.476  0.023  0.515  T
2.4200  3.221  0.011  0.623  T
2.4250  2.783  0.088  0.611  T
2.4300  1.515  -0.002  0.602  T
2.4350  1.241  -0.008  0.581  T
2.4400  0.951  -0.012  0.541  T
2.4450  1.063  -0.029  0.557  T
2.4500  1.529  -0.007  0.558  T
2.4550  0.214  -0.028  0.529  T
2.4600  0.169  0.008  0.440  T
2.4650  0.213  -0.007  0.535  T
2.4700  0.620  0.105  0.619  T
2.4750  1.146  0.011  0.497  T
2.4800  0.647  -0.052  0.650  T
2.4850  2.122  -0.017  0.642  T
2.4900  3.161  0.030  0.569  T
